1470,-5.67,93.74,76700,81307,55216,65206,64923,59081,54421,71277,51766,35419,25867,22179,39589,83204,69363,53667,66628,66015,62129,63773,88088,54019,62551,72063
1472,178.62,214.50,51915,18633,17850,26601,21894,29569,53190,27688,47230,28745,21547,17240,16507,21347,14607,29339,33933,56311,72822,46955,45827,39469,23638,26377
1473,-36.94,25.45,384725,610081,480887,612453,497702,410395,329912,581438,578104,530119,490280,266508,306666,523620,650767,806567,687386,564510,354161,650505,772965,772497,649785,705402
1474,-19.29,40.23,265400,328823,187312,273395,277543,294124,275559,271516,225541,242144,209272,194160,189267,302680,203686,172985,306183,307532,278500,262086,290603,289874,252790,296464
1475,-41.40,546.10,10945,18677,15339,10361,45360,38238,25080,16286,10597,9420,8841,5601,1694,1640,2240,3117,3963,3635,5871,4135,4280,6346,4790,4582
1476,1.48,111.82,3158046,3111846,2324451,2783179,3702424,2494282,3128881,2614618,2040791,2733446,1918136,2039347,1490917,1902480,1807489,2300958,2730115,2359195,2649809,2256557,2483930,2461906,2330083,2568553
1477,-33.48,8.47,1560469,2345903,2628521,1806671,2381607,2156588,1761346,2123190,2690100,3116299,2220229,2153860,1438613,1133062,2344774,1693577,2092533,2134444,2077871,2237389,3156364,2416786,2124835,2298489
4414,-6.33,40.16,1295215,1382808,1670267,1223675,1152030,1198668,1621854,1558236,1703554,1692605,2164325,1153962,924101,1251347,1329222,1327928,1929909,1587441,1342812,1721438,1788205,1686240,1461298,1171338
4426,-39.02,-19.69,51413,84314,53901,85240,103931,90756,81469,109515,115635,105752,75551,71404,64017,122989,149372,126774,136757,140463,180678,213451,236583,183343,140864,197735
4438,19.50,31.10,625008,523018,446068,600145,511643,449208,783353,1834130,1813260,1771757,1568350,1131464,476734,582639,533774,727482,825730,859312,1429215,2437286,2257087,2091237,1869465,1373183
1503,-3.58,28.88,2429347,2519443,1784924,2810779,3063805,1991320,2207236,2177328,1935498,1901013,2137689,1966320,1884976,2309826,1620361,2489575,2358387,2010847,1987267,2225612,2069620,1911565,2504939,2134006
1504,-5.74,22.66,4181903,4436522,3363114,4111594,4868158,3927983,3589714,3786157,3678179,3940025,4406855,3443947,3409349,3693406,3020654,3799231,4370102,3928027,3879865,4086750,3656358,4115430,4365723,4335615
1506,-33.42,48.67,67722,101710,66984,86872,67736,80460,65655,73726,61639,60308,74320,77081,45553,91882,71173,84135,65938,87806,88712,108490,97932,100913,105042,113681
1507,-0.90,25.31,1494053,1507597,994823,1282216,1483377,1513203,1475590,1427171,1443483,1374677,1367701,1179794,1192266,1087203,778897,985190,1343396,1295525,1097575,1170002,1170612,1221893,1171205,1076722
1513,-23.87,38.58,1678387,2204727,973424,1504562,3196653,1268416,998584,1132160,1324092,1087951,1029142,1099407,1211115,1160807,869977,1012380,1562768,1094349,868367,1176035,833099,1158861,1011959,1134472
1514,-7.95,-10.50,386044,419387,411153,399915,567071,477166,379584,405959,362926,416869,417133,435413,431356,468388,358518,384478,570145,423430,375703,344470,345898,322722,510087,424315
1515,12.98,197.58,1471519,1302442,1155559,1580814,1671850,1480505,1367284,1346360,1127421,1083857,740710,643187,494494,454220,461068,503251,563308,640903,896984,819060,729184,663042,421302,525218
1517,-4.94,71.07,385312,405341,248668,355350,411896,347951,331423,352321,327135,350337,269436,248371,225237,189779,133701,199773,296233,254375,199223,251549,239120,294925,225802,263257
1519,-3.66,43.84,683460,709451,417358,469183,1346437,650893,608406,849914,918051,613204,670184,662623,475168,516662,424239,735811,1605967,776318,676528,383387,656929,363164,620143,412632
