stockNum,thisMonth,monthIncreasing,yearIncreasing
2436,270935,-9.06,14.87
2441,1591489,1.38,37.38
2449,2757602,3.43,6.68
2451,1289337,-4.32,63.15
2454,36571590,-8.90,77.99
2458,1712236,0.01,64.79
2481,1145856,-1.23,31.26
3006,2011711,5.32,64.51
3014,576001,6.23,62.10
3016,395568,5.58,11.82
3034,11083873,16.31,69.36
3035,558416,-3.35,52.18
3041,244150,13.62,75.41
3054,3315,-28.57,-90.82
3094,29001,23.15,18.85
3189,2732110,1.93,32.55
3257,108477,2.45,52.66
3413,1034877,10.90,20.38
3443,1011945,-23.39,-6.11
3530,333001,-2.50,96.60
3532,956367,-1.80,-6.10
3536,54313,-4.69,4.89
3545,1908675,25.24,102.32
3583,404880,12.79,63.11
3588,165969,8.88,42.94
3686,16531,33.32,154.91
3711,41333449,-1.59,17.08
4919,3495440,-10.40,269.41
4952,301697,6.34,30.80
4961,1751503,16.43,144.87
4967,611842,0.45,12.92
4968,614232,2.12,105.77
5269,444871,-12.54,0.08
5285,566678,9.57,49.39
5471,547974,9.23,-0.78
6202,523085,-10.22,12.67
6239,6671415,2.49,1.63
6243,75906,1.22,14.88
6257,1350187,12.82,40.01
6271,1112037,-4.53,88.17
6515,185151,-9.21,-37.52
6531,518317,5.11,90.89
6533,53911,17.30,23.70
6552,273400,2.14,15.02
6756,266771,4.09,65.01
8016,1765268,13.53,84.69
8028,233617,3.05,14.69
8081,769287,2.06,24.56
8110,730826,50.88,32.57
8131,840933,-1.64,0.92
8150,2283389,-2.61,23.13
8261,310696,-18.94,28.98
8271,784520,-8.27,28.36
2301,13642841,3.05,-0.76
2305,53021,7.19,4.89
2324,89350327,-17.38,-5.25
2331,2244933,-1.18,-16.22
2352,17346469,-7.53,19.73
2353,24949924,-10.07,26.34
2356,38194670,-6.84,-22.50
2357,39139014,-14.73,72.15
2362,1858099,-2.66,6.44
2364,93000,27.29,31.12
2365,87361,-47.24,-25.02
2376,11047434,0.34,79.17
2377,15077434,-14.94,42.12
2380,286603,2.45,217.65
2382,84836851,-10.18,1.72
2387,2160395,7.06,26.54
2395,4675360,-7.07,6.42
2397,692175,-6.72,0.83
2399,212013,-8.92,59.92
2405,134823,-7.41,-1.71
2417,471004,7.14,48.51
2424,1147,-43.30,53.95
2425,470447,5.32,77.10
2442,874108,9668.75,184.16
2465,1025636,49.03,138.60
3002,51419,6.78,-22.07
3005,2963080,6.75,14.72
3013,317611,-24.82,-49.91
3017,4484334,3.47,6.28
3022,513413,-8.12,9.20
3046,185911,-19.08,19.54
3057,51161,-39.33,-25.51
3060,272735,-13.87,24.90
3231,68220509,-1.26,2.01
3416,173082,-18.03,41.73
3494,43297,23.54,53.06
3515,1945465,9.83,46.10
3701,783043,-3.37,33.74
3706,4136027,6.16,50.25
3712,495242,-52.72,-5.14
4916,212799,13.90,-34.93
4938,93054564,15.77,-10.34
5258,283512,-21.92,0.65
6117,171395,-15.06,-2.28
6128,401770,-5.03,113.41
6166,733980,-12.74,7.04
6172,44885,-9.28,6.63
6206,405638,32.35,29.95
6230,760984,-21.07,1.87
6235,209501,13.62,64.91
6277,399492,-18.44,10.32
6414,7016323,-14.18,17.14
6579,379459,-23.40,-21.86
6669,16616629,8.31,25.80
8114,662960,-1.85,13.77
8163,2525742,15.31,39.41
8210,760631,-5.52,-0.43
